 time             v(vi)            v(vc)           
 1.110000000e-08  1.729004762e-01  1.743754709e-01 
 1.310000000e-08  1.824257580e-01  1.809804809e-01 
 1.510000000e-08  4.860427427e-01  4.852005593e-01 
 1.710000000e-08  3.243085758e-01  3.263594373e-01 
 1.910000000e-08  1.017694841e-01  1.015698245e-01 
 2.110000000e-08  3.750687238e-01  3.731901919e-01 
 2.310000000e-08  4.605935295e-01  4.618810108e-01 
 2.510000000e-08  1.444296074e-01  1.456144654e-01 
 2.710000000e-08  2.173910261e-01  2.157285469e-01 
 2.910000000e-08  4.969837894e-01  4.965590406e-01 
 3.110000000e-08  2.838604149e-01  2.858786731e-01 
 3.310000000e-08  1.111034317e-01  1.105550267e-01 
 3.510000000e-08  4.108385772e-01  4.091024208e-01 
 3.710000000e-08  4.333277725e-01  4.349347028e-01 
 3.910000000e-08  1.223274425e-01  1.231884050e-01 
 4.110000000e-08  2.557384674e-01  2.539156451e-01 
 4.310000000e-08  4.998604253e-01  4.998819424e-01 
 4.510000000e-08  2.440727451e-01  2.459768502e-01 
 4.710000000e-08  1.281712841e-01  1.272926746e-01 
 4.910000000e-08  4.420701887e-01  4.405587618e-01 
 5.110000000e-08  4.006038740e-01  4.024493957e-01 
 5.310000000e-08  1.074989674e-01  1.080140187e-01 
 5.510000000e-08  2.958979222e-01  2.939806655e-01 
 5.710000000e-08  4.945550514e-01  4.950274303e-01 
 5.910000000e-08  2.065743939e-01  2.082933588e-01 
 6.110000000e-08  1.522743321e-01  1.510935663e-01 
 6.310000000e-08  4.674850254e-01  4.662752071e-01 
 6.510000000e-08  3.637614120e-01  3.657557467e-01 
 6.710000000e-08  1.005514364e-01  1.007095222e-01 
 6.910000000e-08  3.362250592e-01  3.342872216e-01 
 7.110000000e-08  4.812849823e-01  4.821874080e-01 
 1.100000000e-09  4.784825857e-01  4.773585815e-01 
 3.100000000e-09  3.023104163e-01  3.045815275e-01 
 5.100000000e-09  1.194812266e-01  1.186700881e-01 
 7.100000000e-09  4.566895059e-01  4.551843638e-01 
 9.100000000e-09  3.425071069e-01  3.447671288e-01 
 1.110000000e-08  1.058703022e-01  1.054380631e-01 
 1.310000000e-08  4.284812657e-01  4.266795841e-01 
 1.510000000e-08  3.809634615e-01  3.831111854e-01 
 1.710000000e-08  1.002075446e-01  1.001701262e-01 
 1.910000000e-08  3.950124613e-01  3.930024022e-01 
 2.110000000e-08  4.161052565e-01  4.180391082e-01 
 2.310000000e-08  1.027245979e-01  1.030870400e-01 
 2.510000000e-08  3.576532652e-01  3.555267352e-01 
 2.710000000e-08  4.464939589e-01  4.481187072e-01 
 2.910000000e-08  1.133181959e-01  1.140742695e-01 
 3.110000000e-08  3.179331923e-01  3.157810283e-01 
 3.310000000e-08  4.708856012e-01  4.721194181e-01 
 3.510000000e-08  1.315544085e-01  1.326859420e-01 
 3.710000000e-08  2.774785289e-01  2.753867287e-01 
 3.910000000e-08  4.882816761e-01  4.890626120e-01 
 4.110000000e-08  1.566864685e-01  1.581625492e-01 
 4.310000000e-08  2.379456887e-01  2.359926894e-01 
 4.510000000e-08  4.979699955e-01  4.982609011e-01 
 4.710000000e-08  1.876853543e-01  1.894615280e-01 
 4.910000000e-08  2.009533916e-01  1.992083182e-01 
 5.110000000e-08  4.995538386e-01  4.993450191e-01 
 5.310000000e-08  2.232819315e-01  2.252997056e-01 
