 time             v(vi)            v(vo)           
 4.990000000e-08  3.764048507e-01  5.197452344e-01 
 5.190000000e-08  3.684374321e-01  3.025406277e-01 
 5.390000000e-08  7.534680028e-01  5.905803929e-01 
 5.590000000e-08  8.780398813e-01  8.942613391e-01 
 5.790000000e-08  5.307395512e-01  6.998963355e-01 
 5.990000000e-08  3.009838593e-01  3.349277530e-01 
 6.190000000e-08  5.787020163e-01  4.216190788e-01 
 6.390000000e-08  8.925663070e-01  8.098079549e-01 
 6.590000000e-08  7.099021815e-01  8.436896512e-01 
 6.790000000e-08  3.407201345e-01  4.629996648e-01 
 6.990000000e-08  4.115707693e-01  3.160621542e-01 
 7.190000000e-08  8.022157322e-01  6.508145013e-01 
 1.900000000e-09  8.998596925e-01  8.321995990e-01 
 3.900000000e-09  5.939589967e-01  7.778729777e-01 
 5.900000000e-09  3.007540468e-01  3.489096195e-01 
 7.900000000e-09  6.363546852e-01  4.495202146e-01 
 9.900000000e-09  8.955628839e-01  8.652765064e-01 
 1.190000000e-08  5.337062512e-01  7.255102331e-01 
 1.390000000e-08  3.111505034e-01  3.210521396e-01 
 1.590000000e-08  6.955549052e-01  5.045676468e-01 
 1.790000000e-08  8.791678993e-01  8.877635234e-01 
 1.990000000e-08  4.761675524e-01  6.679154178e-01 
 2.190000000e-08  3.333744282e-01  3.047003963e-01 
 2.390000000e-08  7.508438248e-01  5.634551017e-01 
 2.590000000e-08  8.513432835e-01  8.985673163e-01 
 2.790000000e-08  4.236980825e-01  6.074744799e-01 
 2.990000000e-08  3.665138992e-01  3.004979871e-01 
 3.190000000e-08  7.999568867e-01  6.237913821e-01 
 3.390000000e-08  8.132294688e-01  8.972186232e-01 
 3.590000000e-08  3.784465681e-01  5.467026898e-01 
 3.790000000e-08  4.092109169e-01  3.085855220e-01 
 3.990000000e-08  8.408820779e-01  6.831346697e-01 
 4.190000000e-08  7.663858370e-01  8.837324865e-01 
 4.390000000e-08  3.422647746e-01  4.881324921e-01 
 4.590000000e-08  4.597203234e-01  3.285987161e-01 
 4.790000000e-08  8.719474555e-01  7.390894917e-01 
 4.990000000e-08  7.127295823e-01  8.586149066e-01 
 5.190000000e-08  3.166360802e-01  4.342018221e-01 
 5.390000000e-08  5.159732232e-01  3.596883424e-01 
 5.590000000e-08  8.918769960e-01  7.894000552e-01 
 5.790000000e-08  6.544590474e-01  8.228507037e-01 
 5.990000000e-08  3.026076095e-01  3.871474380e-01 
 6.190000000e-08  5.756657033e-01  4.005579034e-01 
 6.390000000e-08  8.998577690e-01  8.320372733e-01 
 6.590000000e-08  5.939589969e-01  7.778729491e-01 
 6.790000000e-08  3.007518071e-01  3.489095296e-01 
 6.990000000e-08  6.363546916e-01  4.495202638e-01 
 7.190000000e-08  8.955634607e-01  8.652765155e-01 
 1.900000000e-09  8.960690772e-01  8.515529433e-01 
 3.900000000e-09  4.789471987e-01  6.945290888e-01 
 5.900000000e-09  3.646125692e-01  3.009571744e-01 
 7.900000000e-09  8.390549957e-01  6.566536759e-01 
 9.900000000e-09  7.155462675e-01  8.712980463e-01 
 1.190000000e-08  3.030238286e-01  4.074723762e-01 
 1.390000000e-08  6.333298871e-01  4.266908668e-01 
 1.590000000e-08  8.802673319e-01  8.788676782e-01 
 1.790000000e-08  4.261703794e-01  6.350745704e-01 
 1.990000000e-08  4.068721238e-01  3.035337821e-01 
 2.190000000e-08  8.706456257e-01  7.143803914e-01 
 2.390000000e-08  6.574506197e-01  8.402381923e-01 
 2.590000000e-08  3.005522845e-01  3.650279101e-01 
 2.790000000e-08  6.926631855e-01  4.792420484e-01 
 2.990000000e-08  8.529933947e-01  8.950347195e-01 
 3.190000000e-08  3.805102650e-01  5.741310279e-01 
 3.390000000e-08  4.570355935e-01  3.182619316e-01 
 3.590000000e-08  8.911574834e-01  7.674597269e-01 
 3.790000000e-08  5.970037154e-01  7.992624769e-01 
