 time             v(vi)            v(vo)           
 4.590000000e-08  4.143487211e-01  4.966968433e-01 
 4.790000000e-08  1.023268323e-01  1.811500546e-01 
 4.990000000e-08  3.597589732e-01  2.080978045e-01 
 5.190000000e-08  4.450381114e-01  4.998307349e-01 
 5.390000000e-08  1.124954359e-01  2.159806154e-01 
 5.590000000e-08  3.201142890e-01  1.742657210e-01 
 5.790000000e-08  4.697884382e-01  4.947914068e-01 
 5.990000000e-08  1.303385459e-01  2.542616534e-01 
 6.190000000e-08  2.796460120e-01  1.455691528e-01 
 6.390000000e-08  4.875885766e-01  4.817903554e-01 
 6.590000000e-08  1.551278111e-01  2.944208107e-01 
 6.790000000e-08  2.400116409e-01  1.231847833e-01 
 6.990000000e-08  4.977091622e-01  4.613644349e-01 
 7.190000000e-08  1.858491065e-01  3.348074496e-01 
 1.900000000e-09  4.708571570e-01  4.900554518e-01 
 3.900000000e-09  1.132145913e-01  2.323468115e-01 
 5.900000000e-09  3.578095058e-01  1.928189384e-01 
 7.900000000e-09  4.160150010e-01  4.990463387e-01 
 9.900000000e-09  1.001617775e-01  1.635859949e-01 
 1.190000000e-08  4.286292670e-01  2.679641592e-01 
 1.390000000e-08  3.423706120e-01  4.757956372e-01 
 1.590000000e-08  1.194986507e-01  1.169974850e-01 
 1.790000000e-08  4.785988875e-01  3.482698849e-01 
 1.990000000e-08  2.618592774e-01  4.240140319e-01 
 2.190000000e-08  1.680937278e-01  1.001248347e-01 
 2.390000000e-08  4.996216574e-01  4.207604341e-01 
 2.590000000e-08  1.875295932e-01  3.520692716e-01 
 2.790000000e-08  2.380690222e-01  1.156690162e-01 
 2.990000000e-08  4.882854194e-01  4.737298419e-01 
 3.190000000e-08  1.314285914e-01  2.716451178e-01 
 3.390000000e-08  3.180844585e-01  1.610699889e-01 
 3.590000000e-08  4.464338908e-01  4.986089336e-01 
 3.790000000e-08  1.026475622e-01  1.958281202e-01 
 3.990000000e-08  3.951675914e-01  2.289431079e-01 
 4.190000000e-08  3.808478276e-01  4.913392688e-01 
 4.390000000e-08  1.058558280e-01  1.369460129e-01 
