 time            v(vop,vom)     
 8.25000000e-07 -1.71805878e-01 
 9.25000000e-07  1.80285714e-01 
 1.02500000e-06 -2.85559064e-02 
 1.12500000e-06 -1.48657299e-01 
 1.22500000e-06  1.93560954e-01 
 1.32500000e-06 -6.65736037e-02 
 1.42500000e-06 -1.19763291e-01 
 1.52500000e-06  1.99383642e-01 
 1.62500000e-06 -1.02122323e-01 
 1.72500000e-06 -8.61614360e-02 
 1.82500000e-06  1.97899624e-01 
 1.92500000e-06 -1.33591096e-01 
 2.02500000e-06 -4.93259109e-02 
 2.12500000e-06  1.88535393e-01 
 2.22500000e-06 -1.60043064e-01 
 2.32500000e-06 -1.05952004e-02 
 2.42500000e-06  1.71808132e-01 
 2.52500000e-06 -1.80254013e-01 
 2.62500000e-06  2.85430480e-02 
 2.72500000e-06  1.48685738e-01 
 2.82500000e-06 -1.93566508e-01 
 2.92500000e-06  6.65916053e-02 
 3.02500000e-06  1.19686964e-01 
 3.12500000e-06 -1.99486957e-01 
 3.22500000e-06  1.02060135e-01 
 3.32500000e-06  8.61628793e-02 
 3.42500000e-06 -1.97516074e-01 
 3.50000000e-06 -1.55686949e-01 
 1.25000000e-07  3.98480334e-02 
 2.25000000e-07 -1.66651330e-01 
 3.25000000e-07  1.95803500e-01 
 4.25000000e-07 -1.10291276e-01 
 5.25000000e-07 -3.98572010e-02 
 6.25000000e-07  1.66668613e-01 
 7.25000000e-07 -1.95724687e-01 
 8.25000000e-07  1.10350057e-01 
 9.25000000e-07  3.98316520e-02 
 1.02500000e-06 -1.66655057e-01 
 1.12500000e-06  1.95808895e-01 
 1.22500000e-06 -1.10329925e-01 
 1.32500000e-06 -3.98568521e-02 
 1.42500000e-06  1.66660437e-01 
 1.52500000e-06 -1.95771984e-01 
 1.62500000e-06  1.10322949e-01 
 1.72500000e-06  3.98367743e-02 
 1.82500000e-06 -1.66663537e-01 
 1.92500000e-06  1.95827145e-01 
 2.02500000e-06 -1.10337388e-01 
 2.12500000e-06 -3.98417177e-02 
 2.22500000e-06  1.66630574e-01 
 2.32500000e-06 -1.95752629e-01 
 2.42500000e-06  1.10302283e-01 
 2.52500000e-06  3.98505860e-02 
 2.62500000e-06 -1.66662517e-01 
 2.72500000e-06  1.95728475e-01 
 2.82500000e-06 -1.10300228e-01 
 2.92500000e-06 -3.98355780e-02 
 3.02500000e-06  1.66629945e-01 
 3.12500000e-06 -1.95872249e-01 
 3.22500000e-06  1.10300825e-01 
 3.32500000e-06  3.98312818e-02 
 3.42500000e-06 -1.66662631e-01 
 3.50000000e-06 -7.72663155e-02 
 1.25000000e-07 -8.87394974e-03 
 2.25000000e-07 -1.03545997e-01 
 3.25000000e-07  1.81216532e-01 
 4.25000000e-07 -1.97432133e-01 
 5.25000000e-07  1.47431173e-01 
 6.25000000e-07 -4.76588530e-02 
 7.25000000e-07 -6.82056231e-02 
 8.25000000e-07  1.61107826e-01 
 9.25000000e-07 -1.99378385e-01 
 1.02500000e-06  1.70907715e-01 
 1.12500000e-06 -8.45900113e-02 
 1.22500000e-06 -3.02688418e-02 
 1.32500000e-06  1.34903701e-01 
 1.42500000e-06 -1.93785138e-01 
 1.52500000e-06  1.87758477e-01 
 1.62500000e-06 -1.18268187e-01 
 1.72500000e-06  8.87365773e-03 
 1.82500000e-06  1.03545786e-01 
 1.92500000e-06 -1.81187424e-01 
 2.02500000e-06  1.97474302e-01 
 2.12500000e-06 -1.47404270e-01 
 2.22500000e-06  4.76765888e-02 
 2.32500000e-06  6.82554071e-02 
 2.42500000e-06 -1.61112007e-01 
 2.52500000e-06  1.99608767e-01 
 2.62500000e-06 -1.70985124e-01 
 2.72500000e-06  8.45849750e-02 
 2.82500000e-06  3.02449481e-02 
 2.92500000e-06 -1.34927824e-01 
 3.02500000e-06  1.94058329e-01 
